SKU,name,price,short_description,image_large
PP-022-CH,موسع رأس خلاط PP-022-CH,33.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/b7732f23-a65b-4212-91df-feb762805a70-thumbnail-1000x1000-70.jpg
SH-3-CH,شطاف بلوتو كروم SH-3-CH,45.0,<div><br></div>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/92586a3b-972e-4566-b24c-435a33904376-thumbnail-1000x1000-70.jpg
SH-3-G,شطاف بلوتو ذهبي  SH-3-G,51.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/b0292922-6d1e-42e0-ad1d-a0be220cfa3f-thumbnail-1000x1000-70.jpg
SH-3-B,شطاف بلوتو اسود  SH-3-B,51.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/d0ed1d5d-463a-4e57-a899-89d3961be94a-thumbnail-1000x1000-70.jpg
SH-2-B, شطاف بلوتو اسود  SH-2-B,51.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/f8f26a8e-a1eb-4012-8f34-f824355debfb-thumbnail-1000x1000-70.jpg
SH-2-G, شطاف بلوتو ذهبي  SH-2-G,51.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/7cdbc7ad-9562-4d1f-a29a-ce1c3c3860f0-thumbnail-1000x1000-70.jpg
SH-2-CH,شطاف بلوتو كروم  SH-2-CH,45.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/0d93c78d-ccb4-4ef2-a5ab-ed20f6d08af4-thumbnail-1000x1000-70.jpg
SH-1-CH,شطاف بلوتو كروم  SH-1-CH,45.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/1c1ffa65-1132-48df-8dd8-c7982bafcd92-thumbnail-1000x1000-70.jpg
SH-1-G,شطاف ذهبي SH-1-G,51.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/549bfb42-f0aa-443e-a7dc-cbb5badcf7f6-thumbnail-1000x1000-70.jpg
SH-1-B,شطاف أسود SH-1-B,51.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/04966992-2280-4224-87bd-0be90c7772b5-thumbnail-1000x1000-70.jpg
PL-859,طقم اكسسوار حمام 4 قطع - PL-859,45.5,طقم اكسسوار حمام 4 قطع,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/20e42d6c-a3d0-4e0d-bb76-0b63510f2c32-thumbnail-1000x1000-70.jpg
PL-866,طقم اكسسوار حمام 4 قطع - PL-866,45.5,طقم اكسسوار,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/2378f60d-7521-4315-b2ff-3ec077fbc9cb-thumbnail-1000x1000-70.jpg
PL-870,طقم اكسسوار حمام 4 قطع - PL-870,45.5,<p>طقم أكسسوار</p><p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/c824154e-86bd-4f49-b416-c3bdd3836d0b-thumbnail-1000x1000-70.jpg
PL-871,طقم اكسسوار حمام 4 قطع - PL-871,45.5,<p>اكسسوار 4 قطع</p><p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/1d60e2ba-12be-4fba-820e-6f6f3bf98998-thumbnail-1000x1000-70.jpg
PL-872,طقم اكسسوار حمام 4 قطع - PL-872,45.5,اكسسوار 4 قطع,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/ec91a497-098e-46d4-802f-d354d86e53ee-thumbnail-1000x1000-70.jpg
PL-873,طقم اكسسوار حمام 4 قطع - PL-873,45.5,اكسسوار 4 قطع,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/0b160fd9-8496-4a70-8450-1ac1a970a48e-thumbnail-1000x1000-70.jpg
